customer_id,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,cluster
C100004,468,1,7502,1,1,4,114,6,2
C100005,6,1,2400.68,4,1,4,414,9,0
C100006,98,1,322.56,1,1,2,112,4,0
C100012,571,1,130.75,1,1,2,112,4,0
C100019,592,1,35.84,1,1,1,111,3,0
C100025,644,1,143.36,1,1,2,112,4,0
C100028,469,1,15.15,1,1,1,111,3,0
C100030,147,1,4801.28,1,1,4,114,6,2
C100034,580,1,1200.32,1,1,4,114,6,0
C100041,685,1,2700.72,1,1,4,114,6,0
C100042,429,1,650.56,1,1,3,113,5,0
C100045,423,1,5.23,1,1,1,111,3,0
C100066,219,1,322.56,1,1,2,112,4,0
C100067,792,1,600.17,1,1,3,113,5,0
C100078,98,1,60.6,1,1,1,111,3,0
C100088,734,1,5.23,1,1,1,111,3,0
C100090,367,1,162.64,1,1,2,112,4,0
C100095,151,1,130.75,1,1,2,112,4,0
C100096,522,1,2700.72,1,1,4,114,6,0
C100099,351,1,136.35,1,1,2,112,4,0
C100102,190,1,2700.72,1,1,4,114,6,0
C100105,236,1,5.23,1,1,1,111,3,0
C100106,258,1,4801.28,1,1,4,114,6,2
C100110,312,1,7502,1,1,4,114,6,2
C100112,288,1,300.08,1,1,2,112,4,0
C100113,267,1,4801.28,1,1,4,114,6,2
C100115,274,1,40.66,1,1,1,111,3,0
C100121,340,1,11.73,1,1,1,111,3,0
C100123,408,1,365.94,1,1,2,112,4,0
C100124,632,1,47.07,1,1,1,111,3,0
C100130,29,1,5401.53,4,1,4,414,9,2
C100132,152,1,47.07,1,1,1,111,3,0
C100138,346,1,2400.68,1,1,4,114,6,0
C100139,723,1,1050,1,1,4,114,6,0
C100141,365,1,60.6,1,1,1,111,3,0
C100148,552,1,2700.72,1,1,4,114,6,0
C100152,396,1,1200.32,1,1,4,114,6,0
C100154,141,1,15.15,1,1,1,111,3,0
C100155,6,1,300.08,4,1,2,412,7,0
C100156,703,1,83.68,1,1,1,111,3,0
C100157,318,1,1016.5,1,1,4,114,6,0
C100159,378,1,896,1,1,3,113,5,0
C100168,141,1,26250,1,1,4,114,6,1
C100172,365,1,573.44,1,1,3,113,5,0
C100175,515,1,9602.72,1,1,4,114,6,2
C100176,605,1,2700.72,1,1,4,114,6,0
C100181,386,1,896,1,1,3,113,5,0
C100182,509,1,293.25,1,1,2,112,4,0
C100184,319,1,4200,1,1,4,114,6,2
C100188,158,1,573.44,1,1,3,113,5,0
C100189,63,1,322.56,2,1,2,212,5,0
C100190,42,1,35.84,3,1,1,311,5,0
C100198,767,1,162.64,1,1,2,112,4,0
C100199,452,1,16800,1,1,4,114,6,1
C100201,492,1,300.08,1,1,2,112,4,0
C100204,222,1,1016.5,1,1,4,114,6,0
C100211,105,1,9602.72,1,1,4,114,6,2
C100218,488,1,7502,1,1,4,114,6,2
C100221,774,1,9602.72,1,1,4,114,6,2
C100225,352,1,143.36,1,1,2,112,4,0
C100232,57,1,600.17,3,1,3,313,7,0
C100235,86,1,2700.72,2,1,4,214,7,0
C100236,13,1,1200.32,4,1,4,414,9,0
C100241,493,1,650.56,1,1,3,113,5,0
C100242,758,1,5.23,1,1,1,111,3,0
C100246,454,1,1200.32,1,1,4,114,6,0
C100247,277,1,2400.68,1,1,4,114,6,0
C100253,487,1,600.17,1,1,3,113,5,0
C100254,750,1,16800,1,1,4,114,6,1
C100256,182,1,47.07,1,1,1,111,3,0
C100259,790,1,143.36,1,1,2,112,4,0
C100261,117,1,4801.28,1,1,4,114,6,2
C100272,371,1,83.68,1,1,1,111,3,0
C100273,372,1,300.08,1,1,2,112,4,0
C100281,11,1,1200.32,4,1,4,414,9,0
C100282,523,1,1200.32,1,1,4,114,6,0
C100283,495,1,1200.32,1,1,4,114,6,0
C100284,253,1,9450,1,1,4,114,6,2
C100285,349,1,300.08,1,1,2,112,4,0
C100286,642,1,4801.28,1,1,4,114,6,2
C100291,644,1,105.57,1,1,2,112,4,0
C100297,178,1,365.94,1,1,2,112,4,0
C100298,574,1,2700.72,1,1,4,114,6,0
C100299,167,1,15.15,1,1,1,111,3,0
C100301,559,1,15.15,1,1,1,111,3,0
C100305,472,1,300.08,1,1,2,112,4,0
C100306,629,1,26250,1,1,4,114,6,1
C100307,792,1,300.08,1,1,2,112,4,0
C100309,646,1,1200.32,1,1,4,114,6,0
C100311,189,1,650.56,1,1,3,113,5,0
C100313,472,1,7502,1,1,4,114,6,2
C100314,690,1,162.64,1,1,2,112,4,0
C100315,310,1,7502,1,1,4,114,6,2
C100322,249,1,26250,1,1,4,114,6,1
C100329,168,1,20.92,1,1,1,111,3,0
C100330,234,1,322.56,1,1,2,112,4,0
C100331,338,1,9602.72,1,1,4,114,6,2
C100333,742,1,7502,1,1,4,114,6,2
C100336,585,1,2700.72,1,1,4,114,6,0
C100346,751,1,7502,1,1,4,114,6,2
